4213,3,282
21692,1,3,254
21694,0,0,213
21696,0,1,179
21697,0,0,144
21699,0,0,112
21700,0,1,78
21702,0,3,52
21704,1,4,32
217,3,282
21692,1,3,254
21694,0,0,213
21696,0,1,179
21697,0,0,144
21699,0,0,112
21700,0,1,78
21702,0,3,52
21704,1,4,32
217,3,282
21692,1,3,254
21694,0,0,213
21696,0,1,179
21697,0,0,144
21699,0,0,112
21700,0,1,78
21702,0,3,52
21704,1,4,32
217START

3,1,5,-13
4,2,6,-11
6,1,5,-2
7,3,4,12
9,0,3,28
10,0,4,43
11,0,5,72
13,0,4,95
14,0,2,128
16,0,1,164
17,0,2,202
19,0,2,240
20,0,0,261
22,2,1,290
23,0,3,309
25,0,0,321
26,-2,5,316
28,0,3,300
29,0,2,283
31,0,0,262
32,0,2,228
34,0,2,192
35,0,6,158
37,0,4,126
38,0,2,96
40,0,4,75
41,2,3,52
44,0,4,29
45,3,4,19
47,3,6,6
48,2,5,-3
50,1,4,-11
51,3,5,-15
52,0,5,-14
54,0,7,-10
55,1,3,1
57,1,5,6
58,0,3,27
60,0,6,44
61,0,6,71
63,1,4,97
64,0,4,123
65,0,2,160
67,0,0,192
68,0,3,233
70,-2,4,264
72,0,3,290
73,0,2,308
75,0,3,319
76,0,6,319
78,0,1,304
79,0,3,283
81,0,2,259
82,0,2,230
84,1,0,194
86,0,3,162
88,0,0,130
89,0,3,97
90,0,2,79
92,0,3,53
93,2,4,31
95,2,3,18
96,1,4,5
98,0,6,-2
99,0,4,-8
101,0,5,-13
102,1,4,-15
104,0,6,-10
105,2,5,-3
107,0,6,8
108,0,6,24
109,1,3,42
111,0,4,67
112,0,5,99
114,0,6,133
116,0,3,171
117,0,2,207
119,1,0,241
120,0,3,274
122,0,5,295
123,1,1,315
125,2,1,318
126,-2,2,314
129,0,1,300
131,0,4,273
132,1,4,240
134,0,2,208
135,0,3,178
137,0,2,144
138,0,4,109
140,1,4,81
141,0,5,62
143,0,5,40
144,0,1,20
146,1,6,5
147,0,4,0
149,2,3,-7
150,4,3,-12
152,0,5,-13
153,2,3,-9
155,0,3,-2
156,0,7,8
158,0,5,24
159,0,5,40
161,0,2,61
162,0,4,96
164,2,1,129
165,0,3,166
167,0,4,202
168,0,2,238
171,0,4,269
172,0,3,297
174,-2,4,314
175,0,3,319
177,0,2,317
179,0,1,298
180,0,5,276
182,0,1,249
183,0,2,214
185,0,1,181
186,0,1,142
188,0,3,114
189,1,3,88
191,1,4,63
192,0,2,40
194,1,3,22
195,2,3,7
197,1,2,0
198,0,4,-7
200,1,3,-13
201,1,4,-15
203,1,5,-12
204,2,5,-7
206,1,4,5
207,1,4,23
209,0,4,38
210,0,4,62
212,0,2,90
214,0,4,125
216,0,4,160
217,0,2,196
219,0,1,233
220,0,3,266
222,1,4,291
224,0,1,310
225,0,3,320
227,0,4,318
228,1,4,300
230,-2,3,280
231,0,3,252
233,0,1,219
234,0,2,185
236,0,0,148
237,1,3,120
239,0,7,90
241,1,4,64
242,0,4,47
244,2,2,28
245,0,7,9
246,2,6,1
248,0,6,-5
249,0,3,-11
251,0,4,-13
252,0,6,-14
254,1,5,0
256,0,6,2
258,0,6,20
259,0,4,38
261,0,5,62
262,1,5,86
264,0,3,116
265,0,6,156
267,0,3,192
268,2,4,225
270,0,1,258
272,0,3,287
273,0,1,310
275,0,5,318
276,0,3,316
278,0,3,305
279,2,1,284
281,0,3,256
282,0,3,223
284,0,3,190
286,0,3,154
287,0,5,122
289,2,1,95
290,0,3,65
292,0,3,44
293,1,5,30
295,0,5,14
296,1,4,3
299,1,5,-7
300,1,4,-11
302,0,5,-14
303,1,6,-10
305,0,6,-6
306,0,6,3
308,0,4,15
309,0,4,34
311,1,5,59
312,0,3,89
314,0,2,120
315,1,2,158
317,0,2,192
318,0,1,231
320,0,3,262
321,0,3,288
323,0,2,308
324,-3,4,318
326,0,2,315
328,0,2,306
329,0,3,286
331,0,3,262
332,0,4,227
334,0,4,192
335,0,1,160
337,1,2,126
338,0,3,96
340,0,5,70
342,0,4,46
344,1,4,26
345,0,8,12
347,0,4,3
348,1,5,-6
350,4,5,-9
351,2,7,-14
353,1,4,-8
354,3,7,-9
356,0,6,3
357,2,3,13
359,0,2,32
360,0,5,56
362,0,6,84
363,0,3,116
365,0,5,154
366,0,2,188
368,0,3,224
369,0,3,261
371,0,4,288
372,1,2,308
374,0,1,320
376,0,2,316
377,0,3,305
379,0,1,286
380,0,1,258
382,2,2,227
384,0,2,191
386,0,2,156
387,0,2,125
389,0,1,96
390,3,6,73
392,0,4,53
393,1,3,29
395,0,5,12
397,0,3,0
398,1,5,-6
399,1,5,-12
401,2,3,-16
402,0,8,-13
404,3,3,-5
405,0,6,0
407,1,3,16
408,0,3,34
410,2,3,60
411,0,3,78
413,0,3,114
414,3,3,147
416,2,4,184
418,0,4,220
419,1,2,255
421,0,3,282
422,0,3,302
424,0,3,317
425,0,4,316
428,0,2,310
429,0,1,290
431,0,1,261
432,0,3,232
434,0,2,198
436,-3,4,163
437,0,4,128
439,0,1,97
440,0,2,70
442,2,0,51
443,0,4,34
445,0,6,17
446,0,5,2
448,1,4,-5
449,1,4,-8
451,2,5,-16
452,1,5,-13
454,3,5,-9
455,0,7,3
457,0,6,13
458,0,5,32
460,0,3,56
461,0,4,79
463,2,3,103
464,0,2,144
466,0,3,179
467,0,1,215
470,0,4,249
471,0,3,280
473,0,4,301
474,0,2,317
476,0,2,321
477,0,3,310
479,0,2,292
481,1,2,265
482,0,4,235
484,0,0,202
485,0,5,165
