
,1,309
23832,0,1,270
23834,0,2,232
23836,0,1,193
23837,0,1,142
23839,0,3,108
23841,0,3,77
23842,0,5,48
23844,0,3,31
1,0,1,309
23832,0,1,270
23834,0,2,232
23836,0,1,193
23837,0,1,142
23839,0,3,108
23841,0,3,77
23842,0,5,48
23844,0,3,31
1,0,1,309
23832,0,1,270
23834,0,2,232
23836,0,1,193
23837,0,1,142
23839,0,3,108
23841,0,3,77
23842,0,5,48
23844,0,3,31
START

3,2,4,-27
4,0,7,-28
6,4,4,-17
7,2,5,-10
9,2,2,7
10,0,3,24
11,0,3,50
13,0,5,74
14,0,5,113
16,0,2,154
17,0,1,196
19,0,2,236
20,-4,4,268
22,0,3,303
23,1,4,327
25,0,0,344
26,0,2,347
28,0,3,335
29,0,1,312
31,0,2,288
32,0,2,250
34,0,3,213
35,1,2,171
37,0,5,131
38,0,2,100
40,0,2,75
41,1,3,49
44,0,3,24
45,1,3,11
47,1,7,-7
48,0,6,-20
50,0,6,-24
51,0,4,-27
53,2,3,-29
54,1,5,-26
55,0,3,-20
57,0,5,-9
58,0,6,1
60,0,4,27
61,0,3,49
63,0,3,75
64,0,7,116
66,0,3,158
67,1,3,190
69,0,2,230
70,0,2,270
72,0,4,303
73,0,0,327
75,0,0,343
76,0,2,344
78,1,0,337
79,0,2,315
81,0,3,284
82,-3,4,249
84,0,2,208
86,-2,4,169
88,0,1,141
89,2,3,103
91,0,4,74
92,0,4,45
94,0,4,29
95,2,4,10
97,1,5,-5
98,0,6,-15
99,3,4,-26
101,1,4,-28
102,0,5,-28
104,4,6,-29
105,0,7,-15
107,0,4,-5
108,0,6,10
110,0,6,33
111,0,4,53
113,0,1,88
114,0,4,126
116,0,4,168
117,0,1,211
119,0,1,251
121,0,1,288
122,1,3,317
124,0,1,335
125,0,1,343
128,0,4,340
129,0,3,324
131,0,3,295
132,0,2,260
134,0,3,225
136,0,3,181
137,1,3,145
139,0,4,111
140,0,3,78
142,0,3,50
143,0,4,29
145,1,7,12
146,1,4,0
148,1,5,-16
149,0,4,-22
151,2,4,-26
152,1,7,-32
154,0,5,-27
155,2,5,-17
157,1,5,-5
158,0,8,4
160,1,6,30
161,0,2,56
