,3,153
10179,0,2,160
10181,0,5,171
10183,0,4,177
10184,-3,5,183
1018START

3,1,4,156
4,1,5,150
6,0,3,141
7,0,5,130
9,2,1,123
10,3,2,109
12,0,3,104
13,0,5,97
15,3,1,92
16,0,3,87
18,0,5,86
19,0,3,83
20,1,5,81
22,0,3,84
23,1,3,88
25,0,3,92
26,0,3,96
28,0,4,105
29,0,4,108
31,1,3,121
32,0,4,130
34,1,2,140
35,0,4,148
37,0,5,158
38,0,5,168
40,0,3,176
41,0,3,178
44,0,3,184
45,0,4,187
47,0,5,182
48,0,4,177
50,-2,3,173
51,0,4,164
53,0,4,156
54,1,3,144
56,0,3,138
57,0,3,128
59,0,3,119
60,1,3,109
62,0,3,100
63,0,3,96
65,2,3,91
66,1,3,84
68,0,3,80
69,0,5,82
71,1,3,82
72,0,4,81
74,0,5,87
75,0,6,90
77,0,4,98
78,2,3,103
79,0,4,113
81,0,5,125
82,0,3,134
84,0,5,143
86,0,2,151
88,-2,4,163
89,0,6,170
91,0,2,176
93,1,1,182
94,0,3,183
96,0,6,184
97,1,3,180
99,0,4,178
100,0,5,168
102,-2,4,164
103,1,3,155
105,0,1,144
106,0,3,131
108,0,5,123
109,0,2,115
111,0,4,104
112,0,6,99
114,0,3,93
115,1,4,86
117,0,5,83
118,1,5,83
120,1,3,80
121,0,5,84
123,2,3,88
124,0,3,92
126,0,2,96
128,1,3,106
130,0,3,112
132,0,4,122
133,0,4,131
135,0,3,141
136,0,4,155
138,0,3,164
139,1,2,170
141,0,4,177
142,0,5,183
144,0,2,182
146,1,1,184
147,-2,4,182
149,0,4,175
150,0,1,171
152,0,3,159
153,1,1,151
155,1,4,138
156,-3,3,131
158,0,2,123
160,0,3,110
161,0,5,102
163,0,4,96
164,0,3,91
166,0,3,85
167,0,5,83
169,2,4,84
171,2,4,81
173,0,3,85
174,0,4,86
176,0,7,91
177,1,1,98
179,0,5,105
180,0,7,114
182,1,3,125
183,0,4,134
185,2,3,145
186,0,3,156
188,0,2,165
189,0,3,172
191,0,3,179
193,0,4,183
194,0,4,185
196,0,2,181
197,0,4,177
199,0,3,175
200,0,2,167
202,0,6,160
203,0,4,152
205,0,4,141
206,0,2,131
208,0,2,121
210,2,1,112
211,1,4,106
214,0,6,94
215,0,4,89
217,0,3,86
218,0,4,83
220,0,4,83
221,0,2,80
223,0,0,87
224,-1,2,90
226,0,4,91
227,1,4,100
229,0,4,108
230,0,7,118
232,-2,5,128
233,1,4,140
235,0,6,147
236,0,5,159
238,0,5,163
240,0,3,176
241,0,2,181
243,0,3,181
244,0,6,184
246,0,4,182
247,0,4,181
249,0,6,175
250,0,2,164
252,0,4,160
254,0,4,148
256,0,3,136
258,0,2,128
259,0,3,120
261,0,5,110
262,0,3,101
264,0,4,94
265,0,3,91
267,0,3,83
268,0,5,82
270,0,5,81
271,0,4,81
273,0,4,84
274,0,3,87
276,0,3,92
277,0,3,102
279,0,4,110
280,0,4,119
282,0,5,129
284,0,1,140
285,0,4,152
287,0,5,160
288,1,3,169
290,0,1,177
291,0,4,180
293,1,3,185
294,0,2,184
296,0,4,183
299,0,3,175
300,0,4,171
302,0,4,163
303,0,3,157
305,0,5,144
306,1,2,134
308,0,4,126
309,0,2,115
311,0,4,105
313,0,4,99
314,0,5,93
316,0,4,87
317,1,3,83
319,0,3,81
320,0,1,82
322,0,2,82
323,0,3,88
325,1,5,92
326,0,7,97
328,1,3,101
329,0,3,110
331,0,6,119
332,0,4,128
334,0,6,140
335,0,3,153
337,0,4,158
338,0,3,170
340,0,3,174
342,0,2,180
344,0,3,185
346,0,1,184
347,0,2,180
349,0,4,176
350,0,2,170
352,0,1,161
353,0,3,152
355,0,3,143
356,0,3,131
358,2,2,123
360,0,3,113
361,0,4,102
363,0,3,100
364,2,5,93
366,1,2,86
367,0,7,87
369,0,6,81
370,1,3,78
372,1,3,84
373,0,3,87
375,1,3,95
376,1,5,100
378,0,3,107
379,0,3,112
381,-2,5,125
382,0,4,132
385,0,4,144
387,0,3,158
388,0,3,163
390,0,3,171
391,0,5,178
393,-3,4,180
394,-2,1,181
396,2,2,180
397,1,2,179
399,0,5,176
401,0,3,168
402,0,5,160
404,1,4,150
405,0,7,137
407,0,3,128
408,0,4,120
410,2,6,112
411,0,6,104
413,0,2,96
414,0,2,89
416,0,4,85
417,0,3,83
419,0,4,86
420,0,2,83
422,0,4,82
423,0,6,85
425,0,2,96
427,0,5,98
429,0,2,108
430,0,4,117
432,0,4,126
434,0,2,134
435,0,3,147
437,0,4,157
438,0,0,164
440,1,2,173
441,0,2,178
443,0,2,183
444,0,1,186
446,0,6,182
448,0,1,180
449,0,1,173
451,1,3,166
452,0,2,157
454,0,4,146
455,0,2,139
457,0,2,125
458,0,3,116
460,0,4,107
462,0,6,100
463,0,3,95
465,0,4,88
466,0,3,84
468,1,3,83
470,0,3,81
472,0,2,84
473,0,5,85
475,1,3,86
476,0,3,95
478,0,4,102
479,1,3,107
481,0,3,119
482,1,4,128
484,0,5,139
485,0,4,150
487,0,6,158
488,0,4,167
490,-2,3,176
492,0,3,179
493,0,2,180
495,2,1,186
496,0,4,180
498,0,3,180
499,0,5,169
501,0,4,165
502,2,1,154
504,0,4,145
505,0,4,137
507,0,5,124
509,1,2,116
510,2,0,104
513,0,4,96
514,0,7,92
516,0,6,84
517,0,7,86
519,0,5,82
520,2,3,83
522,0,3,82
523,0,2,88
525,2,3,92
526,-2,7,93
528,0,3,102
529,0,3,108
531,0,3,121
532,0,5,132
534,0,3,143
535,0,4,152
537,0,4,161
539,0,3,170
540,0,3,174
542,0,4,179
543,1,5,183
545,0,5,183
546,1,1,182
548,0,3,177
549,-2,3,168
551,0,1,160
553,0,3,151
555,1,4,141
557,1,1,131
558,0,4,120
560,0,4,112
561,2,5,104
563,0,4,98
564,0,4,92
566,1,4,88
567,0,6,83
569,0,4,83
570,0,3,80
572,0,6,80
573,0,4,85
575,0,5,92
576,1,3,95
578,0,7,104
579,1,6,114
581,0,5,123
582,0,0,138
584,1,3,146
586,0,4,156
587,0,0,160
589,0,3,171
590,0,2,177
592,1,1,182
593,0,3,184
595,-2,3,184
596,1,3,179
599,0,2,174
601,0,4,170
602,0,2,159
604,1,2,149
605,0,3,140
607,0,1,128
608,0,4,120
610,0,1,112
611,1,2,103
613,0,5,96
615,0,4,93
616,0,4,83
618,0,3,84
619,0,4,81
621,0,6,81
622,0,3,85
624,-2,6,91
625,3,1,94
626,0,6,101
628,0,3,108
630,0,3,120
631,1,3,125
633,0,3,136
634,0,4,148
636,0,4,158
637,0,4,164
640,0,3,177
641,2,3,180
643,0,2,182
645,0,2,182
646,0,1,182
648,0,5,178
649,0,3,172
651,0,3,165
652,1,3,156
654,0,5,144
655,1,4,135
657,0,3,127
659,0,5,116
660,1,1,108
662,0,4,100
663,0,2,93
665,0,4,88
666,0,4,86
668,0,3,82
669,2,4,82
671,0,3,82
672,2,5,87
674,0,4,89
675,0,4,94
677,0,3,103
678,0,3,115
680,0,4,117
681,0,4,128
684,0,5,139
685,0,2,153
687,0,7,160
689,0,3,168
690,0,2,175
692,0,4,180
693,1,2,182
695,0,4,182
696,1,2,182
698,0,5,179
699,0,4,170
701,0,3,163
703,0,3,153
704,0,2,144
706,0,3,132
707,2,6,125
709,1,1,112
710,0,3,105
712,1,0,98
713,0,2,95
715,0,5,88
716,1,2,85
718,0,4,79
719,0,1,83
721,0,2,83
722,1,4,84
724,0,3,92
726,0,4,97
728,1,6,103
729,0,4,111
731,-2,5,121
733,0,3,133
734,0,4,143
736,0,3,152
737,0,3,160
739,0,4,169
740,0,1,176
742,1,3,182
743,0,2,181
745,0,3,184
747,0,3,176
748,0,3,175
750,0,4,170
751,0,5,160
753,0,6,154
754,1,3,137
756,-2,5,132
757,0,5,122
759,1,0,112
760,1,1,101
762,0,4,96
764,0,6,94
765,0,4,88
768,0,4,84
769,0,2,78
771,0,3,81
772,0,4,82
774,2,5,84
775,1,5,93
776,0,3,98
778,0,3,106
780,1,4,113
781,0,6,122
783,2,2,138
784,-2,5,147
786,0,4,154
787,0,6,165
789,0,3,171
790,0,1,176
792,0,6,182
794,0,3,183
795,0,4,184
797,0,3,182
798,0,3,175
800,0,5,170
801,0,2,160
803,0,3,152
804,0,4,139
806,0,3,131
808,0,3,123
809,1,3,111
812,0,3,103
813,0,4,96
815,0,4,90
816,0,4,86
818,0,4,84
819,0,4,81
821,0,5,81
822,0,4,84
824,1,4,88
825,0,4,94
827,0,4,100
828,0,3,109
830,0,6,115
831,1,1,127
833,0,3,132
834,1,3,147
836,0,5,155
837,-2,3,163
839,0,1,170
841,0,4,176
842,0,3,183
844,0,5,183
845,0,2,182
847,0,6,179
848,1,2,174
850,0,3,169
851,0,3,158
854,2,3,149
856,0,1,137
857,0,4,128
859,0,3,120
860,0,2,105
862,0,5,97
863,0,6,95
865,0,4,91
866,0,4,83
868,1,4,78
869,1,6,80
871,0,5,81
872,2,1,88
874,0,4,89
875,0,3,96
877,2,4,100
878,0,2,111
880,0,4,118
881,1,3,127
883,1,3,137
885,3,2,146
886,0,4,161
888,0,4,167
889,0,3,173
891,0,3,179
892,0,2,183
894,0,3,182
896,0,3,182
898,0,5,177
900,1,3,170
